appid,woke
1796790,-1
1043810,-1
668580,1
1669000,-1
1419170,-1
1420350,-1
1549690,-1
1631470,-1
2016590,-1
321960,0
2878600,-1
1449200,-1
1953620,1
535520,0
227300,0
1057700,1
71250,1
25990,1
17510,1
39500,1
1031140,1
440090,1
1206240,1
222880,1
447820,1
1230,1
1280,1
1200,1
35450,1
40970,1
40950,1
19900,1
1229490,-1
304390,-1
1030830,1
1030840,1
1556790,1
633460,1
242860,1
1824220,-1
1933660,-1
629760,-1
424030,1
1440440,0
2933130,-1
2399160,1
1623210,1
1501750,-1
2416790,1
2358720,1
2115170,0
2085790,1
460810,1
307690,1
1150530,-1
2421410,-1
1552620,-1
918570,-1
1610440,-1
1771980,-1
1205520,0
1520,1
2527390,-1
2448970,-1
1528590,-1
1218210,-1
386360,-1
1910600,-1
2142790,-1
2139460,-1
325210,0
473690,-1
302510,0
234140,1
238320,1
262060,-1
1693980,-1
1574240,-1
2475610,-1
3059010,0
2025310,0
1693650,-1
1481910,-1
1477130,-1
829210,-1
872680,1
1286990,0
1887840,-1
1179580,1
2521600,-1
2071500,-1
427410,0
1150440,-1
1549970,-1
1166780,1
734120,0
16810,1
3900,1
3910,1
1325260,-1
1258040,-1
628830,1
561740,-1
444090,-1
522040,-1
407900,-1
2428420,1
2838930,1
2404370,1
822240,-1
1574820,-1
844590,-1
2081400,1
1149440,-1
2840770,-1
1588380,0
1034910,1
1034900,0
2585040,1
1931690,-1
1065180,1
1733880,1
1085180,1
774651,1
394600,1
388800,1
692850,0
1257360,1
838310,1
924750,-1
1586880,-1
1040230,-1
358130,-1
269770,1
1244090,-1
1958220,1
1580240,1
2243710,1
597760,1
702670,1
2497920,1
240720,1
1067850,1
589590,0
1158220,-1
1233070,1
1889740,-1
1177980,1
2637990,0
1290000,1
1445790,1
1424330,0
1629520,1
1232150,1
1644940,0
1471700,1
1861440,-1
1981570,-1
1158940,-1
968250,-1
1574580,0
1515260,1
1100260,1
834740,1
1663220,-1
2322010,-1
2113850,-1
2533960,0
2678990,-1
1868140,-1
2272400,1
1593030,-1
1401590,-1
1455840,1
943260,1
581270,0
2118250,1
1372810,-1
2649080,-1
1412850,-1
861330,-1
1435750,1
1016920,1
944430,1
2336220,-1
1686940,1
2666510,1
1231880,1
1599600,1
1644840,1
1651540,1
1505770,1
1573580,1
1420540,1
1778770,1
1663940,1
1557710,1
1129580,1
2387400,1
2214890,1
1054490,0
1419860,1
1397470,1
1249040,-1
1395030,-1
370910,-1
631570,-1
1042490,0
1658920,-1
1597720,0
1597730,1
1369340,1
1421760,-1
1956040,-1
701160,-1
496300,-1
368230,-1
1637320,1
757320,0
688420,-1
1291340,1
1132230,1
1132220,1
1302730,-1
1438190,-1
1545560,-1
1579380,1
610370,1
418240,1
790740,0
513890,1
1243830,0
728880,0
448510,0
2732820,1
690640,1
319910,1
35720,1
35700,1
863400,1
973070,1
1327810,1
1269590,1
1040550,1
555150,1
583270,1
578430,1
356250,1
376680,1
473920,1
1436450,1
375950,1
1131870,1
1039560,1
985640,1
1431730,1
