appid,name,banner,woke,description
1796790,"Chef RPG","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1796790/header_292x136.jpg?t=1726149544",-1,"Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation."
1043810,"Tactical Breach Wizards","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1043810/header_292x136.jpg?t=1726030693",-1,"Contains overtly pro-LGBTQ+ messaging. There is a pride flag visible during a conversation between Navy Seer and Witch Cop."
668580,"Atomic Heart","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/668580/header_292x136.jpg?t=1725013510",1,"Contains no Woke content."
1669000,"Age of Wonders 4","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1669000/header_292x136.jpg?t=1725002221",-1,"Contains overtly pro-LGBTQ+ messaging. Uses a body type slider instead of biological sex during character creation. Pronoun selection including an option to write custom pronouns."
1419170,"My Singing Monsters","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1419170/header_292x136_alt_assets_33.jpg?t=1725457212",-1,"Contains overtly pro-LGBTQ+ messaging. Whiz-bang is a rainbow-themed seasonal that was added during June 2022."
1420350,"Fraymakers","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1420350/header_292x136.jpg?t=1720930778",-1,"Contains overtly pro-LGBTQ+ messaging. Features multiple non-binary characters that use they/them pronouns."
1549690,"SPRAWL","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1549690/header_292x136.jpg?t=1708717627",-1,"Contains overtly pro-LGBTQ+ messaging. There is a trans flag visible during the credits."
1631470,"Critter Cove","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1631470/header_292x136.jpg?t=1726155554",-1,"Contains overtly pro-LGBTQ+ messaging. Pronoun selection including an option for they/them."
2016590,"Dark and Darker","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2016590/header_292x136.jpg?t=1725946363",-1,"Contains overtly pro-LGBTQ+ messaging. Uses A and B in place of male and female respectively during character creation."
321960,"Might & Magic® Heroes® VII","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/321960/header_292x136.jpg?t=1692823130",0,"Contains LGBTQ+ themes. Fahada and Khalida are in a lesbian relationship. Several npcs have negative comments about this relationship and it is clear such a thing is not considered normal/acceptable."
2878600,"Harry Potter: Quidditch Champions","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2878600/header_292x136.jpg?t=1725897989",-1,"Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation. Pronoun selection including an option for they/them."
